initial state: ..#..####.##.####...#....#######..#.#..#..#.#.#####.######..#.#.#.#..##.###.#....####.#.#....#.#####

#.##. => .
#.#.. => .
###.# => .
..#.# => .
....# => .
.#### => .
##.## => #
###.. => #
.###. => #
...#. => .
..... => .
##..# => .
.#.#. => #
.#.## => #
##.#. => .
##... => .
##### => #
#...# => .
..##. => .
..### => .
.#... => #
.##.# => .
#.... => .
.#..# => .
.##.. => #
...## => #
#.### => .
#..#. => .
..#.. => #
#.#.# => #
####. => #
#..## => .
